ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
META
AVGO
BRK-B
LLY
JPM
V
MA
XOM
UNH
COST
HD
PG
JNJ
ABBV
BAC
CRM
NFLX
AMD
ORCL
KO
PEP
WMT
CSCO
MRK
CVX
ADBE
TMO
ACN
MCD
ABT
QCOM
TXN
CAT
GE
AMGN
GS
MS
AXP
BLK
SPGI
LOW
RTX
HON
C
SCHW
