rebalance_days,volatility_targeting,annualised_return,cagr,annualised_volatility,sharpe,maximum_drawdown,cumulative_return,average_daily_turnover,annualised_turnover,average_gross_exposure,average_net_exposure,average_beta_exposure,max_abs_beta_exposure
1,False,-0.05263437541413508,-0.05276562229730175,0.056069133236614756,-0.938740664886243,-0.39143927117221633,-0.34104892984337154,0.43509736367319174,109.64453564564432,0.648061856753471,-9.241386316521201e-18,0.0006421208539750164,0.09564935028494022
1,True,-0.05424669349281276,-0.054249174238593656,0.05524810816303792,-0.9818742269460164,-0.3914392711722169,-0.3489484334148385,0.4324127314107116,108.96800831549933,0.6445661195740061,-9.347507007501394e-18,0.0006417386318168506,0.09564935028494022
2,False,-0.028724183215303022,-0.029957317795938354,0.05821418970444301,-0.49342236594097505,-0.29907206698820854,-0.20866043231390086,0.2876775495201956,72.49474247908928,0.650014153631992,-1.160860270520376e-17,0.0010597007465169815,0.09564935028494022
2,True,-0.03102074485624634,-0.032118374918659987,0.05704048545261893,-0.5438373220370633,-0.2990720669882071,-0.2221245740914234,0.285305674874228,71.89703006830545,0.6450657282531378,-1.1992854243590576e-17,0.0010563269508979901,0.09564935028494022
5,False,-0.028541012953299413,-0.02949218856041491,0.05282564224652767,-0.5402870980745239,-0.2959319057643943,-0.205736144941168,0.16590248719042489,41.80742677198707,0.6457054915558623,-7.221602835525934e-18,0.0011837043031484534,0.21064189131831798
5,True,-0.028837388695704225,-0.029762918774679736,0.05249279883613762,-0.5493589470381164,-0.2959319057643942,-0.20743937875363883,0.16567351590782858,41.749726008772804,0.6445724133463177,-7.021425229672499e-18,0.0011913965092083558,0.21064189131831798
10,False,0.0008780268967090157,-0.00043913672502371437,0.05135144815647361,0.01709838628179617,-0.1279895267603396,-0.0033739506474299574,0.10905453864903074,27.481743739555746,0.6518357352809011,-3.510377121642082e-19,0.002257356553807039,0.25403255933305796
10,True,0.0008780268967090157,-0.00043913672502371437,0.05135144815647361,0.01709838628179617,-0.1279895267603396,-0.0033739506474299574,0.10905453864903074,27.481743739555746,0.6518357352809011,-3.510377121642082e-19,0.002257356553807039,0.25403255933305796
