metric,value
OOS observations,2692.0
Annualised spread return,-0.04205111976767443
Annualised spread volatility,0.18603929776466754
OOS spread Sharpe,-0.22603353309184954
OOS spread t-statistic,-0.7387714962271518
Positive spread day percentage,0.4936849925705795
Cumulative spread return,-0.46968220056594523
