date,ic
2012-04-27,-0.13243595310464612
2012-04-30,0.3498697351280938
2012-05-01,-0.21819366044290053
2012-05-02,-0.31437255753365173
2012-05-03,-0.15338688666956143
2012-05-04,-0.07588752623161402
2012-05-07,-0.15838037342596611
2012-05-08,0.19876248371689104
2012-05-09,-0.14481111593573598
2012-05-10,-0.05080330004342163
2012-05-11,-0.17325227963525838
2012-05-14,-0.1440512375162831
2012-05-15,-0.10811984368215373
2012-05-16,-0.5142205818497613
2012-05-17,0.20115067303517153
2012-05-18,0.2177594442032132
2012-05-21,-0.004233608336951802
2012-05-22,0.100412505427703
2012-05-23,0.3141554494138081
2012-05-24,0.2101606600086843
2012-05-25,0.061224489795918366
2012-05-29,0.011723838471558836
2012-05-30,-0.001628310898827616
2012-05-31,-0.13547546678245767
2012-06-01,0.2127659574468085
2012-06-04,0.24120712114633086
2012-06-05,0.11485019539730787
2012-06-06,0.11452453321754233
2012-06-07,0.3316326530612245
2012-06-08,-0.2101606600086843
2012-06-11,-0.047112462006079034
2012-06-12,-0.06220147633521493
2012-06-13,-0.010855405992184108
2012-06-14,0.28137212331741207
2012-06-15,0.3327181936604429
2012-06-18,0.32142857142857145
2012-06-19,0.09769865392965696
2012-06-20,0.22416413373860183
2012-06-21,-0.34476769431176724
2012-06-22,0.09379070777247069
2012-06-25,0.07218844984802432
2012-06-26,-0.002713851498046027
2012-06-27,-0.06665219279201041
2012-06-28,0.4877333912288319
2012-06-29,-0.014437689969604862
2012-07-02,0.1876899696048632
2012-07-03,0.1845419018671298
2012-07-05,-0.07273122014763353
2012-07-06,-0.28343465045592703
2012-07-09,-0.18323925314806774
2012-07-10,-0.08195831524099
2012-07-11,-0.1661962657403387
2012-07-12,0.310790273556231
2012-07-13,-0.2789839339991315
2012-07-16,-0.3285931393834129
2012-07-17,0.4178245766391663
2012-07-18,0.0027139251509438202
2012-07-19,0.0755536257056014
2012-07-20,0.15762049500651323
2012-07-23,0.2346938775510204
2012-07-24,0.2778983933999132
2012-07-25,-0.28376031263569257
2012-07-26,0.17488059053408597
2012-07-27,0.17965696917064697
2012-07-30,0.17531480677377334
2012-07-31,0.05644811115935735
2012-08-01,-0.13124185844550587
2012-08-02,0.22014763352149372
2012-08-03,-0.1316760746851932
2012-08-06,-0.4288970907511941
2012-08-07,0.19068038110531282
2012-08-08,-0.2346938775510204
2012-08-09,0.15599218410768562
2012-08-10,0.14861050803300044
2012-08-13,0.17596613113330437
2012-08-14,0.3089448545375597
2012-08-15,-0.20125922709509333
2012-08-16,-0.16071864743889305
2012-08-17,0.11751295903586742
2012-08-20,-0.001845419018671298
2012-08-21,0.10616587060356056
2012-08-22,0.210377768128528
2012-08-23,0.31285280069474597
2012-08-24,-0.10790273556231002
2012-08-27,-0.12364307425097698
2012-08-28,-0.05557967867998263
2012-08-29,-0.4777464177160225
2012-08-30,0.06914893617021275
2012-08-31,-0.3380373425966131
2012-09-04,0.06057316543638732
2012-09-05,0.037234042553191495
2012-09-06,-0.22090751194094657
2012-09-07,0.04429005644811116
2012-09-10,-0.18541033434650456
2012-09-11,-0.2087494572297004
2012-09-12,-0.14285714285714282
2012-09-13,0.03397959183673469
2012-09-14,0.3596938775510204
2012-09-17,0.01489795918367347
2012-09-18,-0.010715379176115808
2012-09-19,-0.02959183673469387
2012-09-20,-0.1107142857142857
2012-09-21,-0.21357142857142855
2012-09-24,-0.670612244897959
2012-09-25,0.0003061224489795918
2012-09-26,0.2838775510204081
2012-09-27,-0.176734693877551
2012-09-28,0.011734693877551019
2012-10-01,-0.11780912782220734
2012-10-02,-0.022346938775510205
2012-10-03,0.06999999999999999
2012-10-04,0.05122448979591836
2012-10-05,-0.1737755102040816
2012-10-08,-0.027653061224489794
2012-10-09,-0.2096938775510204
2012-10-10,-0.20530612244897958
2012-10-11,0.24220005620269305
2012-10-12,-0.24102040816326525
2012-10-15,0.09112244897959182
2012-10-16,0.10540816326530611
2012-10-17,-0.2971428571428571
2012-10-18,0.03673469387755102
2012-10-19,-0.20061224489795915
2012-10-22,0.2874489795918367
2012-10-23,-0.09479591836734691
2012-10-24,0.053775510204081625
2012-10-25,0.11163265306122448
2012-10-26,0.1413265306122449
2012-10-31,-0.05153061224489795
2012-11-01,0.1711224489795918
2012-11-02,-0.031938775510204076
2012-11-05,-0.1439322432163044
2012-11-06,0.28581632653061223
2012-11-07,-0.21061224489795918
2012-11-08,0.053775510204081625
2012-11-09,0.10995178452007658
2012-11-12,-0.1683673469387755
2012-11-13,0.17459183673469383
2012-11-14,-0.020510204081632653
2012-11-15,0.013367346938775507
2012-11-16,0.1437755102040816
2012-11-19,-0.1877551020408163
2012-11-20,-0.2246938775510204
2012-11-21,0.33163265306122447
2012-11-23,-0.07581632653061224
2012-11-26,-0.1407142857142857
2012-11-27,0.15224489795918364
2012-11-28,0.1480612244897959
2012-11-29,-0.3415903468036718
2012-11-30,-0.13785714285714284
2012-12-03,-0.0496938775510204
2012-12-04,0.19816326530612244
2012-12-05,0.18826530612244896
2012-12-06,-0.23673469387755097
2012-12-07,0.1959183673469388
2012-12-10,0.20020408163265305
2012-12-11,-0.019693877551020405
2012-12-12,0.013367346938775507
2012-12-13,-0.31265306122448977
2012-12-14,0.07408163265306122
2012-12-17,0.021938775510204078
2012-12-18,-0.41295918367346934
2012-12-19,-0.11244897959183672
2012-12-20,-0.04030612244897959
2012-12-21,0.025868006845326603
2012-12-24,0.0323469387755102
