date,gross_return,gross_exposure,net_exposure,beta_exposure,turnover,transaction_cost,net_return
2019-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,0.00016945250303292679,0.557673839056442,6.696032617270475e-16,-0.0009531062675378864,0.557673839056442,0.000278836919528221,-0.00010938441649529422
2019-01-04,-0.004131875291375313,0.8300559229978357,-1.5959455978986625e-16,0.010071057824269331,0.5356164087250406,0.0002678082043625203,-0.004399683495737833
2019-01-07,0.0011701522865680374,0.936304936718569,-1.8041124150158794e-16,-0.012181364316854092,0.7560079112529475,0.00037800395562647375,0.0007921483309415635
2019-01-08,0.001985669297417471,0.8544331250214654,-1.457167719820518e-16,-0.005576934349150055,0.6699889911551573,0.0003349944955775787,0.0016506748018398924
2019-01-09,-0.001223627808665273,0.7918596663279812,-1.1102230246251565e-16,-0.0068311528778038436,0.3482839325509799,0.00017414196627548996,-0.001397769774940763
2019-01-10,-0.001702921264403811,0.4656471713294959,-2.2551405187698492e-17,0.0029183590680949365,0.5704866154354757,0.00028524330771773787,-0.0019881645721215487
2019-01-11,-0.0025515826745293826,0.6941937359949598,2.7755575615628914e-17,-0.0006176518470726519,0.45374280449329,0.00022687140224664503,-0.0027784540767760275
2019-01-14,0.0032620077410335123,0.7601618257905802,-2.3592239273284576e-16,-0.00022928683541438566,0.41298480712739605,0.00020649240356369802,0.003055515337469814
2019-01-15,-0.012928317798247185,0.9288955975324414,-6.245004513516506e-17,-0.0013531583677856562,0.5927404331583752,0.0002963702165791876,-0.013224688014826373
2019-01-16,0.0018219798439615008,0.8952040359477231,9.020562075079397e-17,-0.0014859616214039223,0.39419971815843097,0.00019709985907921548,0.0016248799848822852
2019-01-17,0.001867216274552762,0.9033221775367382,-4.371503159461554e-16,-0.0041656499666861135,0.42776510594278033,0.00021388255297139018,0.0016533337215813718
2019-01-18,0.0018917518709465507,0.8464895146350067,-2.7755575615628914e-16,-0.002567917045819379,0.4951506719237004,0.0002475753359618502,0.0016441765349847004
2019-01-22,-0.0009624796356260744,0.7959342041740648,2.636779683484747e-16,0.0011756306530240727,0.5055765948730789,0.0002527882974365395,-0.0012152679330626138
2019-01-23,-0.00278488026291312,0.7960657587495382,-2.3592239273284576e-16,0.0029545232932941742,0.5754133961401324,0.0002877066980700662,-0.0030725869609831862
2019-01-24,0.000235713937478359,0.831646942962527,-2.5673907444456745e-16,0.005461904609272365,0.4544696112345754,0.0002272348056172877,8.479131861071281e-06
